"y","NAO","EA","WP","EP_NP","PNA","EA_WR","SCA","POL","ENSO_MEI","AO","AMO","PDO"
"3",-1.01,1.15,0.19,-0.31,-1.03,-0.93,0.13,0.07,-0.036,0.156,0.331,0.48
"0",0.17,0.09,-0.13,-2.29,-1.36,1.81,1.41,-0.91,-0.641,-0.0475,-0.434,-0.31
"0",1.33,-0.26,0.36,0.45,-0.04,-0.04,-1.85,-0.19,-0.488,0.889,-0.126,0.47
"1",0.16,1.26,-1.94,-0.14,0.73,-0.23,1.01,-0.77,0.068,0.0753,0.314,0.96
"0",-0.77,-0.92,1.18,1.71,-0.04,2.57,0.87,0.28,-0.549,-0.836,-0.218,0.53
"1",-0.21,0.61,1.21,2.43,0.77,0.73,-0.66,-0.54,1.119,-0.961,0.054,1.83
"0",-0.48,0.79,1.08,-0.76,0.48,0.82,0.52,0.96,0.521,-0.115,-0.186,1.23
"0",0.97,1.74,1.19,0.43,-0.37,0.99,-1.24,0.79,0.527,0.535,-0.359,1.44
"0",-0.27,-0.34,0.17,-0.24,0.57,0.3,0.58,-0.18,0.503,-0.226,-0.092,0.42
"0",0.35,-1.74,2.82,-0.57,-1.18,-1.23,0.43,-0.53,-0.149,0.0109,-0.044,0.26
"0",-0.87,0.9,-1.38,2.02,-0.8,-0.18,1.37,0.98,-0.478,0.127,-0.175,-1.24
"0",1.54,0.86,-0.08,0.23,0.39,-0.19,1.4,1.57,0.311,0.535,-0.232,0.89
"0",0.6,-0.16,1.19,-1.56,1.89,1.33,0.14,0.62,0.965,0.0378,-0.115,-0.8
"0",-0.87,0.9,-1.38,2.02,-0.8,-0.18,1.37,0.98,-0.478,0.127,-0.175,-1.24
"0",0.51,-0.31,-0.17,-0.14,1.36,1.55,2.34,1.64,1.714,-0.302,-0.132,1.26
"0",0.24,0.09,0.16,0.48,1.83,0.07,1.42,1.3,0.119,0.18,-0.062,1.75
"1",0.13,-0.46,1,-1.42,0.74,1.15,-1.24,0.05,-1.158,0.139,-0.188,-0.68
"1",0.24,1.31,0.76,0.17,-0.53,1.79,-0.77,-0.4,0.026,-0.102,0.235,0.68
"0",1.54,0.86,-0.08,0.23,0.39,-0.19,1.4,1.57,0.311,0.535,-0.232,0.89
"0",1.73,-0.14,0.15,1.1,-0.35,-0.8,1.12,-1.24,-0.427,-0.293,-0.153,-1.24
"0",-0.32,1.25,-1.47,0.1,1.6,-0.73,0.81,-0.49,-1.185,-0.143,0.142,0.64
"0",-1.17,-1.25,1.88,-1.36,-1.87,-0.6,0.25,1.49,2.169,0.429,0.396,0.7
"0",-0.28,-0.72,1.44,0.26,-0.25,-0.38,0.41,1.04,-0.284,0.157,0.205,-0.06
"0",1.87,-0.03,-0.13,-0.72,0.23,0.36,1.53,1.19,-0.745,0.875,-0.17,0.06
"0",-0.9,1.45,-0.13,-0.87,1.27,-0.83,-0.38,0.77,0.397,-0.25,-0.102,1.09
"0",0.27,-1.24,0.77,2.19,-1.74,0.02,0,0.19,-1.23,-0.578,-0.337,-2.2
"2",0.65,0.67,-1.06,-0.69,0.4,-0.65,0.2,0.37,0.581,0.328,-0.034,-0.31
"0",1.17,1.83,1.47,-0.61,1.84,-1.36,0.65,-0.49,-0.069,0.837,0.044,-0.61
"0",-0.45,1.04,-0.4,0.12,1.67,-1.25,-1.63,-1.15,0.258,-0.212,0.513,-0.04
"0",1.31,-0.92,-1.78,-0.95,2.1,0.75,-0.55,-0.48,2.167,0.313,-0.033,2.36
"0",0.1,0.42,0.45,-0.71,1.2,0.02,0.16,-0.45,-0.237,0.055,0.33,0.64
"0",-0.15,1.31,-0.02,-1.67,-0.6,0.12,-2.19,-2,-0.441,0.65,0.541,-0.22
"2",0.11,-0.14,0.41,0.55,-0.89,0.48,-0.58,-1.44,-0.076,-0.0153,0.222,-0.47
"0",1.52,0.2,-1.46,-0.62,-0.16,0.96,0.27,-0.24,0.157,0.969,0.129,-0.05
"0",-0.95,-0.37,0.24,2.42,0.9,0.94,0.26,0.8,-0.622,-0.533,-0.454,0.27
"1",-0.31,0.07,0.02,-0.67,1.96,-1.7,-0.13,1.67,-0.464,-0.0337,0.088,0.5
"2",-0.46,-0.86,-1.73,-0.58,0.28,1.35,-0.51,0.32,1.009,-0.188,-0.091,-0.1
"0",0,-0.47,1.01,0.93,-0.6,2.4,2.24,-0.4,-1.047,-0.263,-0.129,-1.63
"0",0.47,-0.68,-0.1,-0.74,0.99,-1.3,0.47,-1.28,-0.325,-0.857,0.314,0.91
"0",-0.05,-1.89,-1.67,0.34,1.03,1.03,0.99,-1.09,0.068,-0.745,0.023,-0.62
"0",-1.34,1.23,1.88,0.1,2.17,2.17,-0.95,0.46,0.951,-1.18,-0.164,-0.78
"2",0.65,0.67,-1.06,-0.69,0.4,-0.65,0.2,0.37,0.581,0.328,-0.034,-0.31
"0",0.19,-1.23,1.17,1.83,0.38,1.15,-1.03,1.9,0.931,0.191,-0.201,1.9
